date, rr, since start
2023-03-28 19:35:27 +0000, 700, 1417
2023-03-28 19:35:27 +0000, 705, 2122
2023-03-28 19:35:28 +0000, 699, 2821
2023-03-28 19:35:29 +0000, 708, 3529
2023-03-28 19:35:29 +0000, 730, 4259
2023-03-28 19:35:30 +0000, 730, 4989
2023-03-28 19:35:31 +0000, 720, 5709
2023-03-28 19:35:32 +0000, 734, 6443
2023-03-28 19:35:32 +0000, 762, 7205
2023-03-28 19:35:33 +0000, 797, 8002
2023-03-28 19:35:34 +0000, 782, 8784
2023-03-28 19:35:35 +0000, 744, 9528
2023-03-28 19:35:35 +0000, 747, 10275
2023-03-28 19:35:36 +0000, 748, 11023
2023-03-28 19:35:37 +0000, 737, 11760
2023-03-28 19:35:38 +0000, 735, 12495
2023-03-28 19:35:38 +0000, 744, 13239
2023-03-28 19:35:39 +0000, 760, 13999
2023-03-28 19:35:40 +0000, 770, 14769
2023-03-28 19:35:41 +0000, 777, 15546
2023-03-28 19:35:43 +0000, 760, 16306
2023-03-28 19:35:44 +0000, 730, 17036
2023-03-28 19:35:44 +0000, 703, 17739
2023-03-28 19:35:45 +0000, 690, 18429
2023-03-28 19:35:47 +0000, 669, 19098
2023-03-28 19:35:47 +0000, 683, 19781
2023-03-28 19:35:47 +0000, 673, 20454
2023-03-28 19:35:48 +0000, 665, 21119
2023-03-28 19:35:48 +0000, 669, 21788
2023-03-28 19:35:49 +0000, 674, 22462
2023-03-28 19:35:50 +0000, 669, 23131
2023-03-28 19:35:50 +0000, 652, 23783
2023-03-28 19:35:51 +0000, 661, 24444
2023-03-28 19:35:52 +0000, 658, 25102
2023-03-28 19:35:52 +0000, 658, 25760
2023-03-28 19:35:53 +0000, 652, 26412
2023-03-28 19:35:54 +0000, 657, 27069
2023-03-28 19:35:54 +0000, 650, 27719
2023-03-28 19:35:55 +0000, 635, 28354
2023-03-28 19:35:56 +0000, 624, 28978
2023-03-28 19:35:56 +0000, 629, 29607
2023-03-28 19:35:57 +0000, 623, 30230
2023-03-28 19:35:57 +0000, 638, 30868
2023-03-28 19:35:58 +0000, 627, 31495
2023-03-28 19:35:59 +0000, 638, 32133
2023-03-28 19:36:00 +0000, 644, 32777
2023-03-28 19:36:04 +0000, 700, 33477
2023-03-28 19:36:05 +0000, 666, 34143
2023-03-28 19:36:05 +0000, 636, 34779
2023-03-28 19:36:06 +0000, 625, 35404
2023-03-28 19:36:07 +0000, 619, 36023
2023-03-28 19:36:07 +0000, 612, 36635
2023-03-28 19:36:08 +0000, 603, 37238
2023-03-28 19:36:08 +0000, 588, 37826
2023-03-28 19:36:09 +0000, 574, 38400
2023-03-28 19:36:09 +0000, 573, 38973
2023-03-28 19:36:10 +0000, 563, 39536
2023-03-28 19:36:10 +0000, 556, 40092
2023-03-28 19:36:11 +0000, 544, 40636
2023-03-28 19:36:12 +0000, 540, 41176
2023-03-28 19:36:12 +0000, 538, 41714
2023-03-28 19:36:13 +0000, 535, 42249
2023-03-28 19:36:13 +0000, 532, 42781
2023-03-28 19:36:14 +0000, 525, 43306
2023-03-28 19:36:14 +0000, 525, 43831
2023-03-28 19:36:15 +0000, 519, 44350
2023-03-28 19:36:15 +0000, 521, 44871
2023-03-28 19:36:16 +0000, 525, 45396
2023-03-28 19:36:16 +0000, 530, 45926
2023-03-28 19:36:17 +0000, 545, 46471
2023-03-28 19:36:17 +0000, 553, 47024
2023-03-28 19:36:18 +0000, 551, 47575
2023-03-28 19:36:19 +0000, 545, 48120
2023-03-28 19:36:19 +0000, 547, 48667
2023-03-28 19:36:20 +0000, 552, 49219
2023-03-28 19:36:20 +0000, 557, 49776
2023-03-28 19:36:21 +0000, 556, 50332
2023-03-28 19:36:21 +0000, 563, 50895
2023-03-28 19:36:22 +0000, 575, 51470
2023-03-28 19:36:23 +0000, 579, 52049
2023-03-28 19:36:24 +0000, 576, 52625
2023-03-28 19:36:25 +0000, 566, 53191
2023-03-28 19:36:25 +0000, 562, 53753
2023-03-28 19:36:26 +0000, 560, 54313
2023-03-28 19:36:26 +0000, 557, 54870
2023-03-28 19:36:27 +0000, 554, 55424
2023-03-28 19:36:28 +0000, 556, 55980
2023-03-28 19:36:28 +0000, 564, 56544
2023-03-28 19:36:29 +0000, 580, 57124
2023-03-28 19:36:29 +0000, 608, 57732
2023-03-28 19:36:30 +0000, 633, 58365
2023-03-28 19:36:31 +0000, 634, 58999
2023-03-28 19:36:31 +0000, 632, 59631
2023-03-28 19:36:32 +0000, 634, 60265
2023-03-28 19:36:34 +0000, 621, 60886
2023-03-28 19:36:34 +0000, 610, 61496
2023-03-28 19:36:34 +0000, 606, 62102
2023-03-28 19:36:34 +0000, 597, 62699
2023-03-28 19:36:35 +0000, 587, 63286
2023-03-28 19:36:36 +0000, 580, 63866
2023-03-28 19:36:36 +0000, 578, 64444
2023-03-28 19:36:37 +0000, 586, 65030
2023-03-28 19:36:37 +0000, 602, 65632
2023-03-28 19:36:39 +0000, 619, 66251
